productive_time,learning_preference,focus_span,review_frequency,exam_preparation,note_taking,question_asking,concept_handling,organization,learning_skill_level,capable_cgpa
Evening (5-9 PM),Through videos and visual aids,15-30 minutes,Never,Cram the night before,I use structured methods like Cornell notes,Rarely,Spend time until I understand,Fairly organized,Average,7.95
Evening (5-9 PM),By reading textbooks/notes,30-60 minutes,Never,Study a few days before,I jot down a few points,Never,Try to understand briefly,Fairly organized,Average,7.68
Late night (12 AM-5 AM),Through hands-on practice,Less than 15 minutes,Often,Create a detailed study plan weeks in advance,I take detailed notes,Often,Try to understand briefly,Very organized,Above Average,9.51
Morning (8 AM-12 PM),In group discussions,1-2 hours,Often,Study regularly throughout,I take detailed notes,Never,Skip them,Not organized at all,Above Average,9.94
Night (9 PM-12 AM),By reading textbooks/notes,15-30 minutes,Often,Study a few days before,I use structured methods like Cornell notes,Rarely,Try to understand briefly,Fairly organized,Average,7.58
Morning (8 AM-12 PM),Through hands-on practice,1-2 hours,Often,Cram the night before,I use structured methods like Cornell notes,Often,Skip them,Very organized,Above Average,9.09
Afternoon (12-5 PM),Through videos and visual aids,30-60 minutes,Often,Study a few days before,I take detailed notes,Rarely,Try to understand briefly,Somewhat organized,Average,6.78
Morning (8 AM-12 PM),Through hands-on practice,Less than 15 minutes,Sometimes,Study a few days before,I jot down a few points,Often,Skip them,Not organized at all,Average,7.16
Early morning (5-8 AM),In group discussions,30-60 minutes,Rarely,Cram the night before,I take detailed notes,Never,Try to understand briefly,Very organized,Average,6.91
Afternoon (12-5 PM),By reading textbooks/notes,1-2 hours,Often,Cram the night before,I don't take notes,Sometimes,Research deeply and ask for help,Somewhat organized,Average,7.34
Night (9 PM-12 AM),Through videos and visual aids,15-30 minutes,Always,Cram the night before,I take detailed notes,Sometimes,Try to understand briefly,Very organized,Average,8.28
Afternoon (12-5 PM),Through videos and visual aids,1-2 hours,Often,Study a few days before,I jot down a few points,Sometimes,Research deeply and ask for help,Somewhat organized,Average,6.99
Evening (5-9 PM),By reading textbooks/notes,More than 2 hours,Sometimes,Study regularly throughout,I jot down a few points,Rarely,Research deeply and ask for help,Not organized at all,Average,6.58
Late night (12 AM-5 AM),By reading textbooks/notes,1-2 hours,Often,Study regularly throughout,I use structured methods like Cornell notes,Never,Research deeply and ask for help,Somewhat organized,Above Average,9.53
Morning (8 AM-12 PM),By reading textbooks/notes,More than 2 hours,Always,Study regularly throughout,I jot down a few points,Often,Spend time until I understand,Fairly organized,Above Average,9.02
Late night (12 AM-5 AM),Through videos and visual aids,30-60 minutes,Rarely,Create a detailed study plan weeks in advance,I jot down a few points,Never,Skip them,Not organized at all,Below Average,5.8
Afternoon (12-5 PM),In group discussions,Less than 15 minutes,Always,Cram the night before,I jot down a few points,Rarely,Skip them,Somewhat organized,Below Average,6.09
Evening (5-9 PM),By reading textbooks/notes,Less than 15 minutes,Sometimes,Cram the night before,I take detailed notes,Often,Spend time until I understand,Somewhat organized,Average,7.61
Late night (12 AM-5 AM),In group discussions,1-2 hours,Always,Create a detailed study plan weeks in advance,I don't take notes,Often,Try to understand briefly,Somewhat organized,Above Average,9.6
Night (9 PM-12 AM),Through hands-on practice,30-60 minutes,Never,Cram the night before,I jot down a few points,Rarely,Spend time until I understand,Not organized at all,Below Average,5.32
Early morning (5-8 AM),In group discussions,1-2 hours,Rarely,Cram the night before,I take detailed notes,Sometimes,Skip them,Somewhat organized,Average,7.85
Afternoon (12-5 PM),In group discussions,Less than 15 minutes,Sometimes,Cram the night before,I don't take notes,Never,Spend time until I understand,Not organized at all,Below Average,5.02
Afternoon (12-5 PM),Through hands-on practice,30-60 minutes,Always,Cram the night before,I jot down a few points,Sometimes,Research deeply and ask for help,Somewhat organized,Average,7.55
Afternoon (12-5 PM),By reading textbooks/notes,30-60 minutes,Often,Cram the night before,I use structured methods like Cornell notes,Never,Skip them,Not organized at all,Average,7.46
Afternoon (12-5 PM),By reading textbooks/notes,Less than 15 minutes,Sometimes,Cram the night before,I take detailed notes,Often,Skip them,Fairly organized,Average,8.31
Evening (5-9 PM),In group discussions,Less than 15 minutes,Never,Cram the night before,I use structured methods like Cornell notes,Never,Spend time until I understand,Not organized at all,Below Average,6.07
Morning (8 AM-12 PM),In group discussions,30-60 minutes,Never,Study a few days before,I jot down a few points,Rarely,Skip them,Very organized,Average,7.32
Morning (8 AM-12 PM),Through hands-on practice,30-60 minutes,Often,Study regularly throughout,I use structured methods like Cornell notes,Sometimes,Research deeply and ask for help,Not organized at all,Above Average,9.32
Morning (8 AM-12 PM),In group discussions,15-30 minutes,Sometimes,Study a few days before,I use structured methods like Cornell notes,Often,Skip them,Very organized,Above Average,9.48
Evening (5-9 PM),By reading textbooks/notes,15-30 minutes,Rarely,Study regularly throughout,I take detailed notes,Never,Skip them,Very organized,Average,7.11
Afternoon (12-5 PM),In group discussions,30-60 minutes,Rarely,Create a detailed study plan weeks in advance,I take detailed notes,Sometimes,Skip them,Fairly organized,Average,7.09
Night (9 PM-12 AM),In group discussions,30-60 minutes,Often,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Sometimes,Spend time until I understand,Not organized at all,Above Average,9.22
Evening (5-9 PM),By reading textbooks/notes,1-2 hours,Sometimes,Create a detailed study plan weeks in advance,I jot down a few points,Never,Spend time until I understand,Very organized,Average,8.28
Late night (12 AM-5 AM),Through hands-on practice,Less than 15 minutes,Often,Create a detailed study plan weeks in advance,I jot down a few points,Sometimes,Skip them,Somewhat organized,Average,6.67
Late night (12 AM-5 AM),By reading textbooks/notes,Less than 15 minutes,Always,Create a detailed study plan weeks in advance,I take detailed notes,Often,Skip them,Somewhat organized,Average,6.55
Morning (8 AM-12 PM),In group discussions,Less than 15 minutes,Sometimes,Study a few days before,I don't take notes,Sometimes,Skip them,Very organized,Average,6.89
Late night (12 AM-5 AM),In group discussions,15-30 minutes,Often,Study a few days before,I jot down a few points,Often,Skip them,Not organized at all,Average,7.45
Late night (12 AM-5 AM),Through hands-on practice,1-2 hours,Often,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Never,Research deeply and ask for help,Somewhat organized,Above Average,9.91
Afternoon (12-5 PM),Through hands-on practice,More than 2 hours,Rarely,Study a few days before,I use structured methods like Cornell notes,Rarely,Skip them,Not organized at all,Average,7.16
Morning (8 AM-12 PM),Through videos and visual aids,Less than 15 minutes,Sometimes,Study a few days before,I don't take notes,Rarely,Try to understand briefly,Somewhat organized,Average,7.98
Evening (5-9 PM),By reading textbooks/notes,More than 2 hours,Never,Cram the night before,I jot down a few points,Never,Skip them,Very organized,Average,7.68
Early morning (5-8 AM),By reading textbooks/notes,15-30 minutes,Always,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Never,Research deeply and ask for help,Somewhat organized,Above Average,9.4
Early morning (5-8 AM),In group discussions,Less than 15 minutes,Rarely,Cram the night before,I don't take notes,Rarely,Skip them,Fairly organized,Below Average,6.18
Evening (5-9 PM),Through videos and visual aids,15-30 minutes,Always,Create a detailed study plan weeks in advance,I jot down a few points,Never,Spend time until I understand,Very organized,Average,6.57
Afternoon (12-5 PM),Through videos and visual aids,30-60 minutes,Rarely,Cram the night before,I take detailed notes,Often,Spend time until I understand,Not organized at all,Average,6.96
Evening (5-9 PM),Through videos and visual aids,30-60 minutes,Often,Create a detailed study plan weeks in advance,I jot down a few points,Never,Research deeply and ask for help,Somewhat organized,Average,7.26
Evening (5-9 PM),Through videos and visual aids,More than 2 hours,Sometimes,Cram the night before,I don't take notes,Rarely,Spend time until I understand,Not organized at all,Average,7.4
Afternoon (12-5 PM),By reading textbooks/notes,More than 2 hours,Often,Cram the night before,I don't take notes,Sometimes,Skip them,Not organized at all,Average,7.11
Afternoon (12-5 PM),Through videos and visual aids,15-30 minutes,Sometimes,Cram the night before,I jot down a few points,Rarely,Skip them,Not organized at all,Below Average,6.36
Late night (12 AM-5 AM),By reading textbooks/notes,1-2 hours,Often,Study a few days before,I use structured methods like Cornell notes,Never,Research deeply and ask for help,Fairly organized,Average,8.34
Night (9 PM-12 AM),By reading textbooks/notes,30-60 minutes,Sometimes,Create a detailed study plan weeks in advance,I use structured methods like Cornell notes,Rarely,Research deeply and ask for help,Somewhat organized,Average,8.02
Late night (12 AM-5 AM),By reading textbooks/notes,More than 2 hours,Never,Study regularly throughout,I use structured methods like Cornell notes,Rarely,Spend time until I understand,Not organized at all,Average,7.4
Afternoon (12-5 PM),Through hands-on practice,More than 2 hours,Often,Create a detailed study plan weeks in advance,I don't take notes,Rarely,Try to understand briefly,Not organized at all,Average,6.71
Afternoon (12-5 PM),Through videos and visual aids,15-30 minutes,Never,Study regularly throughout,I take detailed notes,Sometimes,Research deeply and ask for help,Very organized,Average,7.97
Morning (8 AM-12 PM),Through hands-on practice,Less than 15 minutes,Sometimes,Study regularly throughout,I take detailed notes,Often,Research deeply and ask for help,Fairly organized,Above Average,8.51
Afternoon (12-5 PM),In group discussions,15-30 minutes,Often,Study regularly throughout,I take detailed notes,Never,Try to understand briefly,Somewhat organized,Average,7.77
Early morning (5-8 AM),Through videos and visual aids,15-30 minutes,Never,Cram the night before,I use structured methods like Cornell notes,Often,Skip them,Not organized at all,Below Average,6.22
Late night (12 AM-5 AM),By reading textbooks/notes,1-2 hours,Never,Study a few days before,I jot down a few points,Sometimes,Try to understand briefly,Not organized at all,Average,6.52
Afternoon (12-5 PM),Through videos and visual aids,30-60 minutes,Often,Cram the night before,I jot down a few points,Rarely,Try to understand briefly,Somewhat organized,Average,8.14
Night (9 PM-12 AM),Through hands-on practice,30-60 minutes,Rarely,Cram the night before,I don't take notes,Never,Try to understand briefly,Not organized at all,Below Average,5.39
Late night (12 AM-5 AM),Through hands-on practice,More than 2 hours,Rarely,Study a few days before,I jot down a few points,Often,Try to understand briefly,Not organized at all,Average,8.3
Night (9 PM-12 AM),Through hands-on practice,1-2 hours,Never,Study a few days before,I take detailed notes,Never,Spend time until I understand,Fairly organized,Average,7.05
Afternoon (12-5 PM),In group discussions,15-30 minutes,Often,Study a few days before,I use structured methods like Cornell notes,Sometimes,Spend time until I understand,Fairly organized,Average,7.26
